Im1,Im2,Im3,Im4,Im5,Im6,Im7,Im8,Im9,Im10,Im11,Im12,Im13,Im14,Im15,Im16,Im17,Im18,Im19,Im20,Im21,Im22,C_CR1,C_CR2,C_CR3,C_CR4,C_REP1,C_REP2,C_REP3,COM_A1,COM_A2,COM_A3,COM_A4,SAT_1,SAT_2,SAT_3,SAT_P1,SAT_P2,SAT_P3,SAT_P4,SAT_P5,SAT_P6,TRU_1,TRU_2,TRU_3
5,5,999,4,5,7,7,7,7,7,6,6,6,7,5,5,6,6,5,6,6,5,2,6,4,4,4,4,5,4,5,4,4,6,6,6,6,6,6,6,6,6,2,6,6
5,999,5,6,5,6,4,5,4,5,7,4,5,6,7,7,7,7,6,6,6,7,2,6,2,3,5,5,5,4,4,3,2,4,6,3,7,999,999,7,999,7,5,5,3
6,6,6,6,6,5,5,6,5,6,7,7,6,6,6,6,6,6,6,6,6,6,4,999,6,6,5,5,5,4,4,6,5,6,6,1,6,999,6,6,5,6,5,6,6
7,7,6,6,6,7,7,7,7,7,7,7,7,999,6,4,7,7,7,4,4,4,2,6,6,2,5,5,5,6,4,5,3,6,7,1,4,4,4,6,4,6,4,4,6
4,4,5,4,6,6,6,7,6,6,6,6,6,7,4,6,6,6,4,5,5,5,2,5,2,2,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
5,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,3,3,6,3,6,3,3,6,2,2,5,5,5,6,6,5,5,5,6,6,6,6,6,6,6,6,5,5,5
6,6,5,5,4,5,5,6,3,6,3,3,3,6,6,4,3,3,3,2,3,2,1,3,2,1,4,4,4,4,4,2,2,4,4,5,4,4,4,5,5,5,2,4,5
7,7,999,999,7,6,7,6,6,7,7,7,7,7,7,6,7,7,999,7,7,999,7,5,7,7,5,5,5,5,5,4,4,6,6,999,6,6,6,7,6,7,4,4,7
6,999,6,6,6,7,7,7,7,7,999,999,999,7,7,7,6,6,6,6,6,6,4,999,4,4,5,5,999,7,7,7,6,7,6,6,7,7,7,6,7,7,6,6,6
6,6,6,5,6,6,6,5,6,5,6,999,4,6,6,4,6,6,4,4,4,3,2,5,2,2,4,4,4,4,4,5,5,6,5,4,4,4,5,4,3,4,4,4,4
6,6,6,6,6,7,6,7,6,6,7,7,7,7,6,6,7,6,6,6,7,6,1,4,6,2,5,5,5,4,4,4,5,6,7,6,6,6,6,7,6,7,5,6,6
7,7,5,5,5,6,6,7,7,7,7,6,6,7,7,7,5,5,6,6,7,7,2,1,1,1,4,4,5,4,4,5,4,6,6,6,7,7,7,7,7,7,5,6,6
5,5,5,5,6,6,6,7,5,6,5,6,6,6,5,5,6,5,5,6,6,6,6,5,6,5,4,5,5,4,4,5,4,5,5,5,5,5,5,5,6,6,4,5,5
6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,1,2,1,1,4,4,4,4,4,2,6,6,6,6,6,6,6,6,6,6,6,6,6
1,1,4,4,2,2,2,6,2,6,6,7,2,6,3,7,3,3,2,2,4,1,1,6,2,2,4,4,4,3,3,3,1,4,4,4,7,7,7,7,6,7,2,3,4
5,5,5,6,5,7,7,7,7,7,7,7,7,7,5,6,5,4,7,6,6,5,4,6,7,6,5,5,5,7,7,7,7,6,7,1,6,6,6,6,7,7,7,7,6
4,4,2,2,4,5,5,6,4,6,6,4,4,6,4,2,4,4,3,7,7,6,6,7,6,6,5,5,5,5,5,3,5,5,4,4,1,1,1,3,1,2,3,5,6
6,4,6,6,6,6,6,6,4,6,4,6,6,6,6,6,6,4,6,3,6,3,2,2,2,2,4,4,4,5,4,999,6,6,6,999,6,6,6,6,7,7,6,6,6
4,4,3,4,2,6,6,6,6,6,5,4,4,6,4,6,4,3,5,3,3,2,5,6,4,2,4,4,5,4,2,3,2,5,6,6,6,6,6,6,5,6,4,5,5
7,6,6,6,5,7,7,7,7,7,5,7,6,7,6,7,7,7,6,7,6,6,6,6,6,5,5,5,5,5,5,6,4,6,6,7,7,6,6,7,6,7,6,6,6
5,5,3,3,999,5,5,3,3,6,7,7,6,6,5,6,2,2,6,4,7,1,1,6,1,1,5,5,5,6,5,5,5,6,7,7,6,6,6,7,6,7,6,7,7
6,6,6,6,6,6,6,6,6,6,5,5,5,7,6,6,6,5,6,6,6,6,7,7,7,7,5,5,5,6,6,6,5,6,7,7,6,6,6,6,6,7,6,6,6
7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,6,5,7,7,7,5,5,6,5,5,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6
5,3,7,7,7,7,5,6,4,5,4,6,4,6,6,6,6,6,7,3,6,4,1,1,1,5,5,5,5,6,4,4,1,7,7,999,7,6,7,7,6,7,3,6,6
6,6,5,5,6,4,6,6,3,7,5,6,4,6,6,5,3,2,5,5,6,6,1,3,2,1,5,5,5,5,5,3,5,4,4,6,4,5,5,6,5,7,3,3,3
6,5,999,7,7,7,7,7,7,7,7,7,6,7,5,7,5,5,6,6,6,7,2,6,1,1,5,5,5,4,4,4,2,6,6,6,7,7,7,7,7,7,5,5,5
6,6,6,6,7,6,6,7,6,7,7,7,7,7,6,7,7,7,7,5,6,4,3,6,6,3,5,5,5,6,6,7,6,7,7,7,7,7,7,7,7,999,6,7,7
4,4,6,999,999,6,6,7,6,7,6,6,6,7,5,5,6,6,6,6,5,5,3,5,3,3,5,5,5,6,5,6,6,6,6,999,6,6,6,6,6,6,6,6,6
6,4,3,3,4,5,5,6,6,6,4,6,6,6,5,3,6,6,6,6,6,6,1,6,6,1,4,4,4,4,4,5,999,6,6,5,6,6,6,6,6,6,3,5,999
7,7,6,6,7,7,7,7,6,7,7,6,6,7,6,6,6,999,6,7,7,7,1,5,6,2,5,5,4,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,5
7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,4,7,5,5,7,7,7,5,5,5,4,4,4,3,5,5,6,6,6,6,6,6,6,4,3,5
4,4,6,6,6,6,6,6,999,6,6,6,6,999,3,4,4,999,4,3,3,3,2,999,2,2,4,4,4,4,4,3,3,4,5,5,6,6,6,6,6,6,4,999,5
6,6,6,6,5,6,6,6,4,6,4,4,4,6,4,6,4,4,6,6,6,6,4,5,4,5,5,5,5,6,4,5,5,6,6,6,6,6,6,6,6,6,5,5,6
4,4,4,999,999,6,6,6,4,5,4,4,4,5,3,4,3,3,4,4,4,3,2,6,2,2,4,4,5,5,5,3,4,5,5,5,5,5,5,5,5,6,5,5,5
7,7,6,6,6,6,6,6,6,6,7,5,5,7,7,6,6,4,6,7,7,7,3,4,3,3,4,4,4,5,5,4,5,6,5,5,5,5,5,5,5,5,5,6,6
5,999,6,6,6,7,7,7,7,7,7,7,7,7,6,6,6,5,6,5,6,5,4,4,6,6,5,5,5,6,6,4,6,6,6,6,6,6,6,6,6,6,4,5,6
5,5,5,5,6,6,6,6,5,7,5,5,6,7,5,6,5,4,6,6,6,6,2,5,2,3,4,4,5,5,4,4,3,6,6,6,5,5,5,6,5,6,5,5,6
5,4,4,4,4,6,6,6,6,6,6,6,6,6,6,4,4,4,6,6,6,4,1,4,1,1,5,5,5,7,7,6,6,6,6,6,6,7,6,6,6,6,5,5,5
6,6,7,7,7,6,999,6,6,999,6,999,999,999,999,6,999,6,6,999,3,3,2,999,1,1,5,5,5,4,4,6,4,6,6,6,999,7,999,7,7,7,6,999,6
5,4,7,7,6,6,6,6,4,6,6,6,6,7,4,5,6,6,6,6,6,5,1,1,1,1,5,5,5,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,7,7,7,7,7,999,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,7,6,5,6,7,999,5,2,999,2,999,5,5,5,5,5,6,6,7,999,7,7,7,7,7,7,7,6,7,7
5,5,6,6,5,7,7,7,5,7,6,7,7,7,6,6,7,7,6,5,5,3,3,4,3,3,4,5,5,6,6,5,5,6,6,6,6,6,6,6,5,6,5,5,5
4,4,4,6,4,7,7,7,7,7,4,7,4,7,7,4,6,6,4,4,4,4,2,6,7,2,5,5,5,4,4,6,2,6,6,7,6,6,6,7,7,7,999,4,3
6,6,5,5,999,6,4,4,6,6,4,4,6,6,6,6,6,6,6,6,6,6,2,999,3,1,4,4,999,3,4,3,2,4,6,4,6,6,5,6,6,6,5,4,6
5,5,6,5,6,7,7,7,7,7,6,5,5,7,6,6,6,6,5,5,6,6,1,6,1,1,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6
6,6,6,6,6,6,6,6,5,6,5,5,5,6,5,6,5,4,6,5,6,6,1,1,1,1,5,5,5,1,1,4,4,6,6,6,6,6,6,6,6,6,4,6,6
5,4,3,4,3,7,6,6,5,6,7,6,5,6,6,5,5,5,5,5,6,5,1,3,3,2,4,5,5,5,5,3,2,5,5,6,6,7,7,6,7,7,5,6,6
4,4,2,4,4,7,6,7,4,5,3,5,6,6,4,5,5,4,4,5,5,2,1,3,1,1,4,5,5,6,4,3,4,6,6,6,5,5,5,6,5,6,4,2,5
5,5,5,5,999,5,5,6,6,7,7,7,7,7,5,6,6,6,6,7,7,5,5,6,5,3,4,5,5,4,4,1,1,2,4,4,6,6,6,7,6,7,4,4,4
5,5,6,6,6,7,7,7,7,7,7,7,6,7,7,7,5,5,6,6,6,5,1,5,1,1,4,4,5,4,4,2,2,7,6,7,6,6,6,6,6,6,3,6,6
6,6,6,6,6,6,6,7,6,7,6,6,6,6,6,6,6,6,6,5,6,5,3,6,3,3,5,5,5,5,5,6,5,6,6,6,7,6,6,7,7,6,6,7,7
6,6,5,5,6,5,5,6,4,6,6,7,7,6,6,6,5,5,6,5,6,5,7,7,7,7,5,5,5,6,6,5,6,7,7,7,6,7,7,7,6,6,5,5,6
6,6,5,5,5,7,7,7,6,7,6,4,4,6,5,5,5,5,4,4,5,4,2,3,2,2,5,5,5,7,7,999,6,5,5,6,5,5,5,5,4,6,5,6,6
5,5,3,3,6,6,6,5,6,5,5,5,5,5,5,1,6,6,3,2,4,2,2,2,2,2,4,4,5,3,2,1,2,5,4,6,2,2,2,2,2,2,4,4,5
7,7,6,6,6,999,7,7,7,7,999,999,999,7,4,7,6,5,5,7,7,7,999,999,1,1,5,5,5,6,6,5,6,6,6,6,6,6,6,6,6,7,6,7,7
5,5,4,4,4,5,4,6,4,999,6,999,5,999,5,999,5,4,999,6,7,6,5,5,5,2,5,5,5,6,5,5,4,5,4,5,999,999,999,5,999,5,5,999,6
6,6,5,5,6,7,6,6,6,6,5,5,6,6,5,5,5,5,5,5,6,5,1,3,3,1,4,4,4,5,5,4,4,5,6,5,6,5,5,6,5,6,3,5,6
6,6,6,6,6,7,6,6,4,6,6,6,4,6,6,6,6,6,6,4,6,6,1,4,2,2,3,3,5,6,4,6,2,6,6,999,6,6,6,6,6,7,2,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,6,7,7,4,6,7,6,5,5,999,7,7,7,7,6,7,6,6,6,6,6,6,7,6,5,7
3,3,3,2,4,7,7,7,7,4,6,5,3,3,6,5,4,3,6,7,5,5,7,7,5,5,5,5,5,7,7,7,7,5,6,6,6,6,6,7,5,7,4,6,6
5,5,5,5,999,7,7,6,6,6,7,999,999,6,5,6,6,6,5,6,6,999,1,1,1,1,5,5,5,6,6,6,6,6,6,7,6,6,6,6,6,6,7,7,7
7,7,999,4,7,7,7,7,7,6,7,7,999,7,7,7,6,6,6,6,6,6,999,6,6,6,5,5,5,6,6,6,7,7,6,999,7,999,6,7,7,7,6,7,6
4,4,5,4,4,7,7,7,7,6,5,6,5,6,5,4,6,5,4,4,6,4,3,4,4,3,5,5,5,7,7,5,6,5,5,6,4,4,4,6,6,6,6,5,5
6,6,4,4,4,7,7,7,4,6,4,5,5,6,6,4,4,4,5,6,7,6,5,7,6,5,4,5,5,6,6,4,6,5,5,5,5,4,4,6,4,5,5,5,5
4,4,7,7,7,5,6,7,5,7,7,7,7,7,6,5,6,5,6,7,7,5,6,6,6,6,5,5,5,6,6,6,6,5,5,6,5,6,6,4,5,5,4,3,4
1,2,4,3,2,5,5,6,4,5,6,2,2,5,2,6,2,1,6,6,6,4,4,6,6,5,4,5,5,4,4,2,3,5,5,5,4,5,6,7,7,7,3,5,6
6,6,6,6,7,7,7,7,6,7,7,7,7,7,6,5,6,5,6,4,5,3,7,7,7,7,5,5,5,6,6,6,5,6,6,6,4,6,6,4,4,5,4,4,5
5,5,6,6,6,6,6,6,6,6,6,6,7,6,6,5,6,6,4,7,7,7,4,6,5,4,5,5,5,4,4,2,3,5,5,5,5,5,6,4,3,5,3,5,5
6,6,6,6,7,6,7,7,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,5,5,5,5,5,5,4,4,4,6,5,6,6,6,6,6,6,6,3,5,5
7,7,7,7,7,5,5,6,4,6,6,6,6,6,7,7,6,3,6,7,7,7,1,7,1,1,5,5,5,6,4,5,7,6,7,7,7,7,7,7,7,7,6,7,6
6,999,4,5,7,7,999,7,7,7,7,999,7,7,7,5,7,7,6,999,6,4,7,7,1,7,5,5,5,7,7,999,7,7,7,7,5,5,5,3,3,3,5,7,7
5,5,6,6,5,6,5,5,5,6,6,5,5,6,5,6,5,5,5,6,6,5,2,6,1,2,5,5,5,6,5,6,5,6,6,6,6,6,6,7,6,6,6,6,6
5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,7,5,3,4,1,3,4,5,5,4,3,3,3,4,6,999,6,5,5,6,5,6,3,6,6
6,4,6,6,6,6,6,6,6,6,4,4,4,6,6,6,6,6,6,6,6,6,1,1,1,1,5,5,5,1,4,4,3,6,6,999,6,6,6,6,6,6,5,6,6
5,5,2,2,4,2,5,6,4,6,6,6,6,6,4,4,3,3,4,4,6,999,2,6,2,2,5,5,5,4,4,2,2,4,6,5,3,4,4,6,6,6,6,6,6
6,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,5,5,7,6,5,5,3,6,3,2,5,5,5,6,6,4,5,6,7,7,7,6,6,6,6,7,6,6,7
3,3,3,6,7,7,7,7,6,7,5,5,4,7,6,7,3,2,6,5,5,2,1,6,5,5,5,5,5,6,6,5,4,6,6,999,7,7,7,7,7,7,5,5,5
5,5,6,6,6,7,7,7,4,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,6,6,3,3,3,7,7,6,6,6,7,6,6,7,6,6,6,6,6,6,6
7,7,4,4,6,7,7,7,5,7,4,5,6,7,5,6,7,3,6,3,6,2,5,7,5,4,5,5,5,6,6,5,6,4,5,4,6,6,6,6,6,7,4,4,4
4,6,6,6,3,6,7,7,3,7,6,6,5,7,4,6,4,3,6,2,3,1,1,6,5,1,4,4,4,2,2,5,3,5,5,5,6,6,6,5,6,5,3,999,5
6,6,5,4,6,7,7,7,7,7,6,7,7,7,6,7,4,2,7,4,6,3,1,7,1,1,5,5,5,7,6,6,5,6,6,7,7,7,7,6,7,7,5,6,6
6,6,6,6,6,7,6,7,6,7,7,7,6,7,6,6,6,6,6,6,6,6,3,6,3,3,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6
5,5,999,5,5,4,4,4,4,6,6,6,6,999,5,3,5,4,5,3,6,3,2,5,5,1,4,4,4,4,3,3,3,5,5,5,4,2,3,4,4,4,3,3,5
7,6,5,6,5,7,7,7,6,7,7,7,6,7,6,6,5,5,6,5,6,4,1,7,4,4,4,5,5,5,5,5,5,7,2,7,6,6,6,7,6,7,7,7,7
7,7,7,7,5,6,6,6,6,6,2,7,7,6,7,999,7,7,7,7,7,7,3,6,5,5,5,5,5,5,5,4,3,5,6,6,7,7,7,7,7,7,5,6,7
4,999,6,5,6,6,7,7,5,4,6,6,6,6,5,5,5,2,5,3,4,2,2,5,2,1,4,4,5,6,6,5,5,6,6,6,5,4,5,6,4,999,5,5,5
6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,5,5,6,4,5,6,6,6,6,6,6,6,7,5,6,6
6,6,5,5,999,5,5,6,4,6,6,6,5,6,7,6,6,6,6,5,5,5,3,5,3,3,3,4,4,4,4,3,3,6,5,5,4,6,6,6,6,6,5,5,6
7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,6,1,6,5,5,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
6,6,7,5,5,7,7,7,7,7,5,5,5,7,7,7,5,4,6,6,6,6,1,4,2,1,5,5,5,999,999,4,4,6,5,5,7,6,6,7,7,7,5,5,6
7,7,7,7,4,7,5,7,4,7,2,6,6,7,6,7,4,4,6,1,6,1,7,7,7,7,999,5,5,6,3,4,6,4,4,5,7,7,7,7,7,7,3,5,5
5,5,5,5,5,999,7,6,5,7,5,5,5,7,5,4,5,4,4,6,6,5,999,6,999,1,5,5,5,5,5,6,3,6,7,7,4,4,4,4,4,4,7,6,6
3,3,5,5,5,5,5,6,3,5,999,7,7,5,6,6,6,6,5,999,5,5,3,999,5,999,5,5,5,999,6,5,3,6,6,6,6,6,6,7,7,7,5,4,6
5,5,7,7,7,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,4,4,4,5,5,5,5,5,5,6,5,6,6,6,6,5,5,5,5,5,6
5,5,5,5,5,6,6,7,7,7,7,7,7,7,5,5,5,5,5,6,5,5,7,7,7,4,5,5,5,5,5,5,5,4,6,5,4,4,4,5,5,5,6,5,999
4,4,5,5,5,6,6,6,6,6,5,5,5,6,5,4,5,5,5,5,5,4,2,6,6,2,4,4,4,5,5,4,4,6,6,6,6,6,6,6,6,4,999,5,5
6,6,5,5,5,6,6,6,5,6,6,6,5,6,5,5,4,4,5,6,6,6,3,5,3,3,5,5,5,4,4,5,4,6,6,7,6,6,6,6,6,6,6,6,6
6,7,7,7,7,7,7,6,6,7,7,6,6,7,6,6,7,7,6,6,7,7,1,7,1,1,5,5,5,6,7,6,6,6,6,6,6,6,6,6,6,6,5,6,6
